key,summary,assignee,priority,status,last_updated,url
KAFKA-14670,Refactor connect plugins to be called from wrapper classes,Greg Harris,Minor,In Progress,2025-01-27,https://issues.apache.org/jira/browse/KAFKA-14670
KAFKA-14652,Improve MM2 logging by adding the flow information to the context (KIP-916),Daniel Urban,Major,In Progress,2025-01-02,https://issues.apache.org/jira/browse/KAFKA-14652
KAFKA-14636,Compression optimization: Use zstd dictionary based (de)compression,Christo Lolov,Major,In Progress,2023-02-06,https://issues.apache.org/jira/browse/KAFKA-14636
KAFKA-14541,Profile produce workload for Apache Kafka,Divij Vaidya,Major,In Progress,2022-12-23,https://issues.apache.org/jira/browse/KAFKA-14541
KAFKA-14396,Flaky memory leak tests rely on System.gc for correctness,Chia-Ping Tsai,Minor,In Progress,2024-08-05,https://issues.apache.org/jira/browse/KAFKA-14396
KAFKA-14281,Multi-level rack awareness,Viktor Somogyi-Vass,Major,In Progress,2022-10-28,https://issues.apache.org/jira/browse/KAFKA-14281
KAFKA-14237,Kafka TLS Doesn't Present Intermediary Certificates when using PEM,Anurag J,Blocker,In Progress,2025-12-03,https://issues.apache.org/jira/browse/KAFKA-14237
KAFKA-14165,ConfigTransformer.DEFAULT_PATTERN fails on Windows platform,Unassigned,Major,In Progress,2022-09-05,https://issues.apache.org/jira/browse/KAFKA-14165
KAFKA-14131,KafkaBasedLog#readToLogEnd() may accciedently falls into infinite loop,Sambhav Jain,Major,In Progress,2023-07-17,https://issues.apache.org/jira/browse/KAFKA-14131
KAFKA-13866,Support more advanced time retention policies,Nikolay Izhikov,Major,In Progress,2022-09-23,https://issues.apache.org/jira/browse/KAFKA-13866
KAFKA-13625,Fix inconsistency in dynamic application log levels,Dongjin Lee,Minor,In Progress,2025-01-25,https://issues.apache.org/jira/browse/KAFKA-13625
KAFKA-13516,Connection level metrics are not closed,Dongjin Lee,Major,In Progress,2025-01-25,https://issues.apache.org/jira/browse/KAFKA-13516
KAFKA-13508,"Introduction of ""-head"" flag for describe tool for broker",Unassigned,Minor,In Progress,2024-06-25,https://issues.apache.org/jira/browse/KAFKA-13508
KAFKA-13395,Emit Client Quota Values as Metric,Mason Joseph Legere,Minor,In Progress,2025-01-25,https://issues.apache.org/jira/browse/KAFKA-13395
KAFKA-13365,Improve MirrorMaker2's client configuration,Dongjin Lee,Critical,In Progress,2025-01-25,https://issues.apache.org/jira/browse/KAFKA-13365
