key,summary,assignee,priority,status,last_updated,url
KAFKA-19528,Release script does not handle doing multiple release candidates,Unassigned,Major,Open,2025-07-21,https://issues.apache.org/jira/browse/KAFKA-19528
KAFKA-19526,Enable to use DescribeTopicPartitionsRequest with topic id  ,Bolin Lin,Minor,Open,2025-07-20,https://issues.apache.org/jira/browse/KAFKA-19526
KAFKA-19515,"Align broker and controller ""advertised.listeners"" and ""listeners"" behaviour",Ken Huang,Minor,Open,2025-09-10,https://issues.apache.org/jira/browse/KAFKA-19515
KAFKA-19514,Deprecate and remove Properties from public API,Jhen-Yung Hsu,Minor,Open,2025-07-17,https://issues.apache.org/jira/browse/KAFKA-19514
KAFKA-19513,Flaky test: AclControlManagerTest.testDeleteExceedsMaxRecords(),Qiang Liu,Major,Open,2025-12-03,https://issues.apache.org/jira/browse/KAFKA-19513
KAFKA-19507,Optimize Replica Assignment for Broker Load Balance in Uneven Rack Configurations,Unassigned,Major,Open,2025-08-18,https://issues.apache.org/jira/browse/KAFKA-19507
KAFKA-19473,The client does not throw RecordTooLargeException when the Record size exceeds max.partition.fetch.bytes,dyingjiecai,Major,Open,2025-07-06,https://issues.apache.org/jira/browse/KAFKA-19473
KAFKA-19465,Enable Schema definition for InsertHeader SMT,Unassigned,Major,Open,2025-07-02,https://issues.apache.org/jira/browse/KAFKA-19465
KAFKA-19448,Allow custom topic configurations for RemoteStorageManager,Ivan Yurchenko,Minor,Open,2025-06-30,https://issues.apache.org/jira/browse/KAFKA-19448
KAFKA-19442,"Kafka Streams state store used an outdated value when reducing records, resulting in incorrect output.",Unassigned,Major,Open,2025-07-02,https://issues.apache.org/jira/browse/KAFKA-19442
KAFKA-19441,Encapsulate MetadataImage in GroupCoordinator,Liz Bennett,Major,Open,2025-07-18,https://issues.apache.org/jira/browse/KAFKA-19441
KAFKA-19438,Request for Assistance: FileSystemException Errors on Kafka Log Cleanup in Windows (KRaft and Zookeeper Modes),Unassigned,Critical,Open,2025-06-28,https://issues.apache.org/jira/browse/KAFKA-19438
KAFKA-19433,Unify broker heartbeat RPC timeout and periodic resend timeout,Jimmy Wang,Minor,Open,2025-07-28,https://issues.apache.org/jira/browse/KAFKA-19433
